Help,I can help you with  TPV and Active Metrics for yesterday Last quarter Year-over-year and Peak Holiday Volume,
List,I can list the TPV and Active Metrics for yesterday Last quarter Year-over-year and Peak Holiday Volume,
Tell,I can tell you the TPV and Active Metrics for yesterday Last quarter Year-over-year and Peak Holiday Volume,
Health,All the Enterprise  and the Data Lake Servers have been performing normally except for Slow Response Time from Jackal since last night,
Address,This is Personal information that cannot be shared,
Credit Card,This is classified information that cannot be shared,
Yesterday TPV,Yesterday's TPV was $10 Million,12/12/2017 
Quarterly TPV, TPV for last quarter was $3 Billion,12/12/2017 
Actives,There are $77 Million active users in our system,12/12/2017 
Activations,There are currently $1 Million activations,12/12/2017 
